地図の五大要素を上げなさい,方位、距離、面積、角度、形
内的営力の造陸運動についてどんな現象を引き起こすか,隆起、沈降
内的営力の造山運動についてどんな現象を引き起こすか,褶曲（しゅうきょく）、断層、火山活動
外的営力によってどんな現象が起こるか,侵食、運搬、堆積
内的営力によって作られる大陸や巨大な山脈などの広範囲な地形は,大地形
外的営力によって作られる比較的規模の小さな地形は,小地形
プレートの移動によって現在の地形が作られたとする考えを何というか,プレートテクトニクス
プレートの境界に沿って広がる地帯は,変動帯
プレートの内部の大部分に分布する地域は,安定地域
変動帯には主に何が分布しているか,山脈、活断層、火山など
プレートの移動によって形成される三つの境界は,広がる境界・狭まる境界・ずれる境界
海洋プレートが生じる場所とされる、広がる境界で形成される地形は,海嶺、地溝
海嶺とは何か,大洋底にある長大な海底山脈のこと、海底に連なるエベレストみたいなもんやな
海洋プレートが大陸プレートの下に沈み込んでいる、挟まる境界で形成される地形は,海溝、列島や巨大な山脈
地球誕生（約46億年前）から、約5億4100万年前までの地質時代のことをなんというか,先カンブリア時代
ずれる境界の例としてアメリカ合衆国の〇〇断層があげられる,サンアンドレアス断層
海底で地震が発生した時に起きる大波は,津波
安定地域の半数を占める最も古い陸地は,安定陸塊
安定陸塊で発達する、河川や風などの作用によって形成された平野は,浸食平野
浸食平野で広がる二つの地形は,楯状地・卓状地
先カンブリア時代の古い地層が露出している平坦地は,楯状地
先カンブリア時代の地層の上に古生代以降の地層が堆積した平原や台地は,卓状地
緩やかに傾いた硬軟の互層が侵食してできた地形は,ケスタ
中生代以降から造山活動が続いている地形は,新期造山帯
古生代の造山活動が安定してなだらかな山脈になっている地帯は,古期造山帯
,
河川の侵食により地形が変化して行く過程のことを何と呼ぶか,地形の輪廻
輪廻時の5つの段階を順に何というか,原地形、幼年期、壮年期、老年期、準平原
原地形の河川が少しずつ侵食されて一部にV字谷が形成された地形は,幼年期
原地形が失われて谷の方が多くなり、標高が高い急峻な山脈となった地形は,壮年期
さらに河川の浸食を受け、谷幅が広くなり、山が丸みを帯びた地形は,老年期
侵食から取り残された残丘（モナドノック）が点在する平坦でゆるやかな地形は,準平原
準平原が内的営力により隆起することでなる台地は,隆起準平原／原地形
,
外的営力である河川の浸食・運搬・堆積によってできる平野は,沖積平野
河川の上流で斜面が激しく浸食されたことで形成される谷は,V字谷
山間の盆地で河川沿いに土砂が堆積してできる地形は,谷底平野
河川が山地の出口に土砂を堆積することでできる扇形の平地は,扇状地
河川が蛇行しながら反乱を繰り返すことで形成された沖積平野は,氾濫原
蛇行していた河川の流路がまっすぐに変わった際に取り残されることでできる湖は,三日月湖
洪水時に水とともにあふれ出した土砂が堆積して形成される微高地は,自然堤防
自然堤防の背後に形成される土地は,後背湿地
谷底平野や氾濫原が隆起を繰り返してできた段丘は,河岸段丘
氾濫原が隆起してできた台地は,洪積台地
洪積台地は江戸時代には何に利用されていたか,雑木林、馬を放牧する牧場
洪積台地は現代では何に利用されているか,工業団地、新興住宅地
河口付近で砂や泥が堆積して形成される、低く水はけの悪い地形は,三角州
三角州は開発が進むと何が形成される傾向にあるか,大都市
,
毎年大体決まって（約30年間）繰り返される大気の状態のことを何というか,気候
大気の温度のことを何というか,気温
気温・降水量・風など、気候を構成する基本的な観測項目のことを何というか,気候要素
気候要素に影響を与える、緯度・隔海度・海流・海抜高度などのことを何というか,気候因子
最暖月と最寒月の平均気温の差は,年較差
一日の中での最高気温と最低気温の差で乾燥気候では差が大きくなるものは,日較差
緯度が高いほど気温はどうなるか,低くなる
雨や雪などの量のことを何というか,降水量
大気の流れのことを何というか,風
冷えて重くなった空気が上空から地表へ向かって降りてくる気流は,下降気流
地表付近の空気が暖められて軽くなり、上空へと上がっていく気流は,上昇気流
下降気流を伴い、周囲よりも気圧が高く、空気が中心から外へと広がる気圧の谷は,高気圧
上昇気流を伴い、周囲よりも気圧が低く、空気が中心に向かって集まる気圧の谷は,低気圧
全地球的な規模で風が高圧部から低圧部まで流れていく循環系は,大気大循環
赤道付近にある低気圧帯は,熱帯収束帯
中緯度にある高気圧帯は,亜熱帯高圧帯
緯度60度付近にある低気圧帯は,亜寒帯低気圧
熱帯収束帯と亜熱帯高圧帯の間に東から西へ吹く風は,貿易風
亜熱帯高圧帯と亜寒帯低気圧の間に西から東へ吹く風は,偏西風
一年を通して一定の方向に吹く風は,恒常風
広い範囲にわたって吹く、夏と冬で風向きが正反対になる風は,季節風
夏の間は季節風はどこからどこに向かって吹くか,海から陸
特定の地域や特定の季節のみに吹く風は,地方風／局地風
山を越えた乾いた風が暖まり、山の反対側で気温が急に上がる現象は,フェーン現象
